# model_id,model_url
LSE01,http://wiki.dragino.com/xwiki/bin/view/Main/User%20Manual%20for%20LoRaWAN%20End%20Nodes/LSE01-LoRaWAN%20Soil%20Moisture%20%26%20EC%20Sensor%20User%20Manual/
sensecaps2120-8-in-1,https://www.kiwi-electronics.com/nl/sensecap-s2120-8-in-1-lorawan-weerstation-11233
lsn50v2-s31,https://www.dragino.com/products/temperature-humidity-sensor/item/169-lsn50v2-s31.html
MCF-LW12TERPM,https://delmation.nl/product/mfc88-mcf-lw12terpm/
